# Taille NThreads Temps
100 1 0.00
100 2 0.00
100 4 0.00
100 8 0.00
100 16 0.01
100 32 0.00
1000 1 0.00
1000 2 0.00
1000 4 0.00
1000 8 0.00
1000 16 0.01
1000 32 0.00
10000 1 0.00
10000 2 0.00
10000 4 0.00
10000 8 0.00
10000 16 0.00
10000 32 0.01
100000 1 0.00
100000 2 0.00
100000 4 0.00
100000 8 0.00
100000 16 0.00
100000 32 0.00
1000000 1 0.00
1000000 2 0.00
1000000 4 0.00
1000000 8 0.00
1000000 16 0.00
1000000 32 0.00
10000000 1 0.03
10000000 2 0.01
10000000 4 0.01
10000000 8 0.01
10000000 16 0.01
10000000 32 0.04
100000000 1 0.31
100000000 2 0.11
100000000 4 0.09
100000000 8 0.10
100000000 16 0.10
100000000 32 0.10
1000000000 1 1.70
1000000000 2 1.07
1000000000 4 0.78
1000000000 8 2.54
1000000000 16 0.74
1000000000 32 0.76
